component,statistic,estimate,bootstrap_95pct_lower,bootstrap_95pct_upper
overall,n,21,,
overall,bias,0.018632360845024964,-0.013770554539109331,0.05133748191114289
overall,sd_diff,0.0770383939702871,,
overall,loa_lower,-0.13236289133673776,,
overall,loa_upper,0.16962761302678767,,
overall,mae,0.06571347150776678,0.04804799145039616,0.08305726389393783
overall,rmse,0.07745620734886169,0.06113497317605627,0.09146769360189423
overall,pearson,0.9960961474723592,0.9918511535454639,0.99822084375983
overall,spearman,0.9944756107847145,0.964543081424293,1.0
overall,icc_experts_single,0.9768920902249377,0.9547341527417873,0.9859408575091336
overall,icc_experts_average,0.9921768455772748,0.9844418833576,0.9952692792516009
overall,icc_algorithm_consensus,0.9959474861635226,0.990874983436603,0.9978420466825796
efd_occlusal,n,21,,
efd_occlusal,bias,0.007143383009507723,,
efd_occlusal,sd_diff,0.04435378073077964,,
efd_occlusal,loa_lower,-0.07979002722282037,,
efd_occlusal,loa_upper,0.09407679324183581,,
efd_occlusal,mae,0.03912741273810266,,
efd_occlusal,rmse,0.04387034123387678,,
efd_occlusal,pearson,0.9615788287924687,,
efd_occlusal,spearman,0.9170130510240637,,
efd_occlusal,icc_experts_single,0.8063995697768219,,
efd_occlusal,icc_experts_average,0.9259030564989196,,
efd_proximal,n,21,,
efd_proximal,bias,0.003856401189978336,,
efd_proximal,sd_diff,0.045059974699758684,,
efd_proximal,loa_lower,-0.08446114922154868,,
efd_proximal,loa_upper,0.09217395160150535,,
efd_proximal,mae,0.037822687639487915,,
efd_proximal,rmse,0.044142806582056174,,
efd_proximal,pearson,0.9841047571174085,,
efd_proximal,spearman,0.8822988303182037,,
efd_proximal,icc_experts_single,0.9155028752493837,,
efd_proximal,icc_experts_average,0.9701529660489988,,
depth_occlusal,n,21,,
depth_occlusal,bias,0.008206717790824913,,
depth_occlusal,sd_diff,0.015710837885019757,,
depth_occlusal,loa_lower,-0.02258652446381381,,
depth_occlusal,loa_upper,0.03899996004546364,,
depth_occlusal,mae,0.009994993918083124,,
depth_occlusal,rmse,0.01739042305661712,,
depth_occlusal,pearson,0.9990712870571884,,
depth_occlusal,spearman,0.8966262967900592,,
depth_occlusal,icc_experts_single,0.9908663883089771,,
depth_occlusal,icc_experts_average,0.9969368107824261,,
depth_gingival,n,21,,
depth_gingival,bias,0.0037883946631543505,,
depth_gingival,sd_diff,0.02094378425146722,,
depth_gingival,loa_lower,-0.037261422469721396,,
depth_gingival,loa_upper,0.0448382117960301,,
depth_gingival,mae,0.009352745844535175,,
depth_gingival,rmse,0.020787167048606687,,
depth_gingival,pearson,0.9991955113883768,,
depth_gingival,spearman,0.9885273449870126,,
depth_gingival,icc_experts_single,0.9975103734439832,,
depth_gingival,icc_experts_average,0.999168744804655,,
ratio,n,21,,
ratio,bias,-0.003720304509067697,,
ratio,sd_diff,0.02988844428558395,,
ratio,loa_lower,-0.06230165530881224,,
ratio,loa_upper,0.05486104629067684,,
ratio,mae,0.021354393610282085,,
ratio,rmse,0.02940443440374994,,
ratio,pearson,0.9988284791183686,,
ratio,spearman,0.9967488082403339,,
ratio,icc_experts_single,0.9945464461007091,,
ratio,icc_experts_average,0.9981755154168948,,
regularity_occlusal,n,21,,
regularity_occlusal,bias,-0.0038097081439943787,,
regularity_occlusal,sd_diff,0.026931831237292966,,
regularity_occlusal,loa_lower,-0.05659609736908859,,
regularity_occlusal,loa_upper,0.04897668108109983,,
regularity_occlusal,mae,0.022807725379331505,,
regularity_occlusal,rmse,0.02655745081971334,,
regularity_occlusal,pearson,0.9167265840715094,,
regularity_occlusal,spearman,0.8890404005148008,,
regularity_occlusal,icc_experts_single,0.8711755233494365,,
regularity_occlusal,icc_experts_average,0.9530240751614798,,
regularity_proximal,n,21,,
regularity_proximal,bias,0.0031674768446215257,,
regularity_proximal,sd_diff,0.014961015620309265,,
regularity_proximal,loa_lower,-0.026156113771184635,,
regularity_proximal,loa_upper,0.03249106746042769,,
regularity_proximal,mae,0.011342609204564808,,
regularity_proximal,rmse,0.014940088080011031,,
regularity_proximal,pearson,0.9501710223422413,,
regularity_proximal,spearman,0.8708855024867268,,
regularity_proximal,icc_experts_single,0.7206703910614527,,
regularity_proximal,icc_experts_average,0.88558352402746,,
