case_id,Tooth,CQS_overall [max=10; min=0],CQS_overall_expert_1 [max=10; min=0],CQS_overall_expert_2 [max=10; min=0],CQS_overall_expert_3 [max=10; min=0],occlusal_average_matching_score_pct,proximal_average_matching_score_pct,OcclusalDepthMedian_mm,GingivalFromPulpalMedian_mm,ratio_isthmus_to_intercuspal,OcclusalFloorResidualRMS_mm,ProximalFloorResidualRMS_mm,q_efd_occlusal,q_efd_proximal,q_depth_occlusal,q_depth_gingival,q_ratio,q_regularity_occlusal,q_regularity_proximal,points_efd_occlusal [max=2.5; min=0],points_efd_occlusal_expert_1 [max=2.5; min=0],points_efd_occlusal_expert_2 [max=2.5; min=0],points_efd_occlusal_expert_3 [max=2.5; min=0],points_efd_proximal [max=2.5; min=0],points_efd_proximal_expert_1 [max=2.5; min=0],points_efd_proximal_expert_2 [max=2.5; min=0],points_efd_proximal_expert_3 [max=2.5; min=0],points_depth_occlusal [max=1; min=0],points_depth_occlusal_expert_1 [max=1; min=0],points_depth_occlusal_expert_2 [max=1; min=0],points_depth_occlusal_expert_3 [max=1; min=0],points_depth_gingival [max=1; min=0],points_depth_gingival_expert_1 [max=1; min=0],points_depth_gingival_expert_2 [max=1; min=0],points_depth_gingival_expert_3 [max=1; min=0],points_ratio [max=2; min=0],points_ratio_expert_1 [max=2; min=0],points_ratio_expert_2 [max=2; min=0],points_ratio_expert_3 [max=2; min=0],points_regularity_occlusal [max=0.5; min=0],points_regularity_occlusal_expert_1 [max=0.5; min=0],points_regularity_occlusal_expert_2 [max=0.5; min=0],points_regularity_occlusal_expert_3 [max=0.5; min=0],points_regularity_proximal [max=0.5; min=0],points_regularity_proximal_expert_1 [max=0.5; min=0],points_regularity_proximal_expert_2 [max=0.5; min=0],points_regularity_proximal_expert_3 [max=0.5; min=0],expert_mean,algorithm_minus_expert_mean
1,MCL2_sample_1,6.415120503,6.4,6.4,6.1,75.30953775,77.72879856,2.065440916,1.403808715,0.201183141,0.072793646,0.095877859,0.753095378,0.777287986,0.869118169,0.19238257,0.341324948,0.864514422,0.8255085,1.882738444,1.9,1.8,1.8,1.943219964,1.9,1.9,1.9,0.869118169,0.9,0.9,0.8,0.19238257,0.2,0.2,0.2,0.682649896,0.7,0.7,0.6,0.432257211,0.4,0.5,0.4,0.41275425,0.4,0.4,0.4,6.3,0.1151205029617346
2,MCL2_sample_2,6.336048346,6.3,6.1,6.5,75.59763403,79.68314536,1.817147836,1.579518928,0.197276156,0.06261135,0.129473919,0.75597634,0.796831454,1.0,0.0,0.313473512,0.882300392,0.771863284,1.889940851,2.0,1.8,2.0,1.992078634,1.9,1.9,2.0,1.0,1.0,0.9,1.0,0.0,0.0,0.0,0.0,0.626947024,0.6,0.6,0.6,0.441150196,0.4,0.5,0.5,0.385931642,0.4,0.4,0.4,6.3,0.03604834627112652
3,MCL2_sample_3,5.979035787,5.9,6.0,6.0,58.14271097,82.81807446,1.604322722,1.640709393,0.198985978,0.12149633,0.097106104,0.58142711,0.828180745,1.0,0.0,0.325567974,0.784277271,0.823483137,1.453567774,1.5,1.4,1.4,2.070451861,2.1,2.1,2.1,1.0,0.9,1.0,1.0,0.0,0.0,0.0,0.0,0.651135948,0.6,0.7,0.7,0.392138635,0.4,0.4,0.4,0.411741568,0.4,0.4,0.4,5.966666666666666,0.012369120796757116
4,MCL2_sample_4,6.423266635,6.4,6.5,6.2,58.61751713,78.03051826,1.90776934,2.215589909,0.232674346,0.08613254,0.079616775,0.586175171,0.780305183,1.0,0.0,0.579894581,0.841756011,0.852797165,1.465437928,1.5,1.5,1.5,1.950762956,1.9,2.0,1.9,1.0,1.0,1.0,0.9,0.0,0.0,0.0,0.0,1.159789162,1.2,1.2,1.1,0.420878006,0.4,0.4,0.4,0.426398583,0.4,0.4,0.4,6.366666666666667,0.05659996812558887
5,MCL2_sample_5,6.082782147,6.2,6.3,6.0,59.1445909,79.42505873,1.824533164,1.474088412,0.205042177,0.085876524,0.103413136,0.591445909,0.794250587,1.0,0.051823176,0.369521857,0.842187127,0.813160906,1.478614773,1.4,1.5,1.4,1.985626468,2.1,2.1,1.9,1.0,1.0,1.0,1.0,0.051823176,0.1,0.1,0.1,0.739043714,0.8,0.8,0.8,0.421093563,0.4,0.4,0.4,0.406580453,0.4,0.4,0.4,6.166666666666667,-0.08388451960395304
6,MCL2_sample_6,6.544720394,6.4,6.4,6.5,74.60604994,80.41939266,1.66597646,1.55044223,0.209003135,0.073679746,0.064475153,0.746060499,0.804193927,1.0,0.0,0.399041831,0.862983686,0.879017647,1.865151249,1.8,1.8,1.9,2.010484817,1.9,2.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.798083662,0.8,0.8,0.8,0.431491843,0.4,0.4,0.4,0.439508824,0.5,0.4,0.4,6.433333333333334,0.11138706104952956
7,MCL2_sample_7,6.058309846,6.0,5.9,5.9,73.7291447,80.86232771,1.766780563,1.85810389,0.176436675,0.084568467,0.101316687,0.737291447,0.808623277,1.0,0.0,0.181518809,0.84439327,0.816577565,1.843228618,1.7,1.8,1.9,2.021558193,2.1,1.9,1.9,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.363037618,0.4,0.4,0.3,0.422196635,0.4,0.4,0.4,0.408288782,0.4,0.4,0.4,5.933333333333334,0.12497651240029839
8,MCL2_sample_8,6.677038547,6.8,6.9,6.7,73.21220342,80.04178518,1.51928585,1.251315717,0.191348088,0.088785896,0.131963765,0.732122034,0.800417852,1.0,0.497368567,0.272827612,0.837300886,0.768029197,1.830305086,1.9,1.9,1.8,2.00104463,2.1,2.1,2.1,1.0,1.0,1.0,1.0,0.497368567,0.5,0.5,0.5,0.545655224,0.5,0.6,0.5,0.418650443,0.4,0.4,0.4,0.384014598,0.4,0.4,0.4,6.8,-0.12296145331033692
9,MCL2_sample_9,7.370195355,7.3,7.3,7.6,75.69163641,76.54963323,2.022938933,0.947820142,0.208290004,0.068197945,0.128850596,0.756916364,0.765496332,0.954122135,1.0,0.393689921,0.87249715,0.772826124,1.89229091,1.9,1.8,2.0,1.913740831,1.8,2.0,2.0,0.954122135,1.0,0.9,1.0,1.0,1.0,1.0,1.0,0.787379841,0.8,0.8,0.8,0.436248575,0.4,0.4,0.4,0.386413062,0.4,0.4,0.4,7.3999999999999995,-0.029804645495806525
10,MCL2_sample_10,6.577820762,6.6,6.7,6.7,65.00058338,83.21925204,1.572876889,2.024224182,0.221883066,0.059715482,0.070977067,0.650005834,0.83219252,1.0,0.0,0.497390858,0.88742527,0.867661051,1.625014584,1.7,1.6,1.7,2.080481301,1.9,2.1,2.1,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.994781716,1.1,1.0,1.0,0.443712635,0.5,0.5,0.5,0.433830525,0.4,0.5,0.4,6.666666666666667,-0.08884590439174112
