measurement,n,mean,sd,median,q1,q3,min,max
case_id,21,11.0,6.2048368229954285,11.0,6.0,16.0,1.0,21.0
CQS_overall,21,6.286886329098993,0.8540631694420633,6.336048346271126,5.596339263911995,6.6276184368807245,5.036565929491982,7.809748954171003
available_weight,21,1.0,0.0,1.0,1.0,1.0,1.0,1.0
occlusal_average_matching_score_pct,21,69.11113214577712,6.38339211992841,71.34349222496442,64.18411107568937,74.60604994140965,58.142710970110656,75.69163641415449
proximal_average_matching_score_pct,21,74.50346239680549,10.10805673957754,79.42505873061798,75.01565809410467,80.41939266233662,50.374219804456416,83.21925204255533
OcclusalDepthMedian_mm,21,1.8127735040301098,0.4239849019131786,1.8285708322972667,1.6043227220339042,2.008071820826176,0.7311052239980375,2.7741654884693823
GingivalFromPulpalMedian_mm,21,1.3216851381194243,0.7510794214592899,1.4740884119967723,0.8210352917547801,1.6407093925148482,-0.2071397896966309,3.216480757321321
ratio_isthmus_to_intercuspal,21,0.21037619015755674,0.07793428701805317,0.2018260377314918,0.1764366745556272,0.2218830658658206,0.0620038885705907,0.406609724383272
OcclusalFloorResidualRMS_mm,21,0.14281464434941785,0.09705861133760182,0.1132521660536713,0.0736797457323886,0.165102616161343,0.0594061105730165,0.4378900112749739
ProximalFloorResidualRMS_mm,21,0.13370410983490752,0.06646545461356324,0.1183580344212928,0.0958778594548743,0.1345936960449179,0.064475152503915,0.325157340348365
q_efd_occlusal,21,0.6911113214577712,0.06383392119928409,0.7134349222496442,0.6418411107568938,0.7460604994140965,0.5814271097011066,0.7569163641415448
q_efd_proximal,21,0.745034623968055,0.1010805673957754,0.7942505873061798,0.7501565809410466,0.8041939266233662,0.5037421980445642,0.8321925204255533
q_depth_occlusal,21,0.7970956066797138,0.35214590284125946,1.0,0.8377696776970405,1.0,0.0,1.0
q_depth_gingival,21,0.33553442640918607,0.4480866324478244,0.0,0.0,1.0,0.0,1.0
q_ratio,21,0.3981398477454662,0.2990397771914588,0.3459783630679255,0.1815188090597045,0.4973908582288421,6.607464896385067e-06,0.9941353891649642
q_regularity_occlusal,21,0.7638091551405828,0.12791728419972925,0.7973158882474916,0.7187762021838879,0.8629836863766764,0.4165369846867341,0.88797452794675
q_regularity_proximal,21,0.7714143187686082,0.09315288989839268,0.7892153390332334,0.7640000746625001,0.8255084999796867,0.521881524877064,0.8790176472352901
points_efd_occlusal,21,1.7277783036444283,0.15958480299821018,1.7835873056241105,1.6046027768922344,1.8651512485352413,1.4535677742527664,1.892290910353862
points_efd_proximal,21,1.862586559920137,0.25270141848943856,1.9856264682654492,1.8753914523526167,2.0104848165584155,1.2593554951114103,2.080481301063883
points_depth_occlusal,21,0.7970956066797138,0.35214590284125946,1.0,0.8377696776970405,1.0,0.0,1.0
points_depth_gingival,21,0.33553442640918607,0.4480866324478244,0.0,0.0,1.0,0.0,1.0
points_ratio,21,0.7962796954909324,0.5980795543829175,0.691956726135851,0.363037618119409,0.9947817164576844,1.3214929792770132e-05,1.9882707783299285
points_regularity_occlusal,21,0.38190457757029134,0.06395864209986464,0.3986579441237458,0.3593881010919439,0.4314918431883382,0.208268492343367,0.443987263973375
points_regularity_proximal,21,0.38570715938430405,0.04657644494919633,0.3946076695166167,0.38200003733125,0.4127542499898433,0.260940762438532,0.439508823617645
ProximalDepthMedian_mm,21,3.1344586421495344,0.5996052390144374,3.2450321145487524,2.770601566686649,3.511825029546095,1.6214310426006358,4.1233592490219895
GingivalMinusPulpalDepth_mm,21,1.3216851381194243,0.7510794214592899,1.4740884119967723,0.8210352917547801,1.6407093925148482,-0.2071397896966309,3.216480757321321
ratio_source_isthmus_id,21,1.0952380952380953,0.30079260375911915,1.0,1.0,1.0,1.0,2.0
ratio_source_isthmus_width_px,21,13.456896621100297,6.5118798306225365,11.0368913153908,9.001498907674153,19.00000000063688,4.055401630538971,25.336943577473058
ratio_source_intercuspal_distance_px,21,65.55976830212539,26.968734104147636,52.952809179494906,47.042533945356304,59.6657355607052,41.593268686170845,118.53269591129698
ratio_source_match_distance_px,21,9.039700507390844,11.118040983960658,4.631909123047809,0.4176813819932476,15.821799574312625,0.0,42.63207853450505
OcclusalFloorArea_mm2,21,6.104860009499747,4.869782494654537,3.9251610570521738,3.5930448823895205,8.296837400788265,1.4051166359336684,16.332016998505487
OcclusalFloorTriangleCount,21,1638.2857142857142,1258.3926709440557,1081.0,1012.0,1873.0,340.0,4487.0
